,words,frequencies
1198,248,5
1199,Fish,1
1200,sampler,1
1201,🐟😘,1
1202,Love,1
1203,fades,1
1204,pizza,1
1205,forever,1
1206,Salted,1
1207,comment,1
1208,cheesecake👇🏻,1
1209,Chicken,1
1210,kathi,1
1211,roll,1
